epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,1432.82,0.61756,0.54965,0.99435,0.79165,0.7693,0.84908,0.52078,1.5576,1.5683,1.67835,0.000330078,0.000330078,0.000330078
73,1459.61,0.78153,0.59107,1.14684,0.76694,0.80522,0.80906,0.52862,1.56301,1.45047,1.62262,0.000319079,0.000319079,0.000319079
74,1467.72,0.69607,0.53836,1.0722,0.76694,0.80522,0.80906,0.52862,1.56301,1.45047,1.62262,0.00030808,0.00030808,0.00030808
75,1475.91,0.68016,0.52087,1.00858,0.7384,0.82619,0.81683,0.5445,1.60086,1.35263,1.66107,0.000297081,0.000297081,0.000297081
76,1484.09,0.66655,0.56532,1.0919,0.81825,0.83505,0.8826,0.57969,1.57647,1.33084,1.64496,0.000286083,0.000286083,0.000286083
77,1492.27,0.6738,0.52982,1.06644,0.81825,0.83505,0.8826,0.57969,1.57647,1.33084,1.64496,0.000275084,0.000275084,0.000275084
78,1507.08,0.69908,0.55008,1.03718,0.78821,0.84277,0.87742,0.5711,1.57838,1.32987,1.61751,0.000264085,0.000264085,0.000264085
79,1535.04,0.62457,0.48675,1.00746,0.80185,0.83737,0.89934,0.57432,1.56261,1.18934,1.61498,0.000253086,0.000253086,0.000253086
80,1562.87,0.66206,0.53233,1.02897,0.80185,0.83737,0.89934,0.57432,1.56261,1.18934,1.61498,0.000242087,0.000242087,0.000242087
81,1590.7,0.62476,0.44543,0.99019,0.83379,0.87382,0.91373,0.58849,1.54797,1.12991,1.61504,0.000231088,0.000231088,0.000231088
82,1607.27,0.62159,0.54037,0.99425,0.83379,0.87382,0.91373,0.58849,1.54797,1.12991,1.61504,0.000220089,0.000220089,0.000220089
83,1615.34,0.6761,0.54816,1.08681,0.86591,0.87141,0.91697,0.5924,1.53049,1.11916,1.60953,0.00020909,0.00020909,0.00020909
84,1623.48,0.59423,0.47729,1.01817,0.87956,0.84444,0.91698,0.57668,1.50398,1.15457,1.56921,0.000198091,0.000198091,0.000198091
85,1631.65,0.58864,0.44468,0.96289,0.87956,0.84444,0.91698,0.57668,1.50398,1.15457,1.56921,0.000187092,0.000187092,0.000187092
86,1647.62,0.58295,0.50654,1.05002,0.83872,0.83893,0.88367,0.58208,1.50302,1.22232,1.54375,0.000176094,0.000176094,0.000176094
87,1675.55,0.63187,0.52425,1.01024,0.83397,0.83385,0.88053,0.57718,1.51587,1.26761,1.54843,0.000165095,0.000165095,0.000165095
88,1703.32,0.57219,0.45347,0.97376,0.83397,0.83385,0.88053,0.57718,1.51587,1.26761,1.54843,0.000154096,0.000154096,0.000154096
89,1731.16,0.59484,0.46616,0.97704,0.81067,0.84917,0.90113,0.57636,1.50888,1.32521,1.55071,0.000143097,0.000143097,0.000143097
90,1755.19,0.57965,0.44393,0.99684,0.81067,0.84917,0.90113,0.57636,1.50888,1.32521,1.55071,0.000132098,0.000132098,0.000132098
91,1763.52,0.55835,0.51809,0.98844,0.90147,0.7707,0.88789,0.59483,1.49255,1.39098,1.54843,0.000121099,0.000121099,0.000121099
92,1771.69,0.6317,0.49852,1.0231,0.89643,0.7866,0.88215,0.58153,1.49487,1.42932,1.5638,0.0001101,0.0001101,0.0001101
93,1779.79,0.5383,0.54656,0.95142,0.89643,0.7866,0.88215,0.58153,1.49487,1.42932,1.5638,9.91012e-05,9.91012e-05,9.91012e-05
94,1787.99,0.5189,0.43738,0.95629,0.89155,0.78581,0.87976,0.57476,1.50151,1.42401,1.57868,8.81023e-05,8.81023e-05,8.81023e-05
95,1805.77,0.55873,0.46326,0.98224,0.86763,0.78466,0.88363,0.57686,1.51936,1.40341,1.60335,7.71034e-05,7.71034e-05,7.71034e-05
96,1833.57,0.50031,0.40362,0.89556,0.86763,0.78466,0.88363,0.57686,1.51936,1.40341,1.60335,6.61045e-05,6.61045e-05,6.61045e-05
97,1861.4,0.52046,0.39502,0.93084,0.85894,0.78467,0.88545,0.57811,1.52493,1.39184,1.61382,5.51056e-05,5.51056e-05,5.51056e-05
98,1889.16,0.5439,0.44077,0.94224,0.85894,0.78467,0.88545,0.57811,1.52493,1.39184,1.61382,4.41067e-05,4.41067e-05,4.41067e-05
99,1906.01,0.49771,0.43344,0.92044,0.87227,0.76781,0.88479,0.57432,1.52404,1.36096,1.61519,3.31078e-05,3.31078e-05,3.31078e-05
100,1914.1,0.52649,0.43121,0.97037,0.91043,0.77275,0.88671,0.57543,1.52297,1.35302,1.61562,2.21089e-05,2.21089e-05,2.21089e-05
